Whole Blood Blood lab1 GTEX-13JUV-0006-SM-5NQ97
Stomach Stomach lab1 GTEX-145LT-1426-SM-5O9B3
Brain - Hypothalamus Brain lab1 GTEX-S7SE-0011-R8A-SM-2XCDG
Breast - Mammary Tissue Breast lab2 GTEX-WY7C-2726-SM-3NB3P
Brain - Cerebellum Brain lab3 GTEX-ZUA1-2926-SM-59HL3
